,sentences
5545,A small group of people are standing and two are sitting on the couch
5546,A small group of people are standing and two are sitting on the sofa
5547,A big group of people are standing and two are sitting on the couch
5548,A group of five young adults are lounging in the room
5549,A group of five young adults are lounging indoors
5550,A group of five old adults are lounging indoors
5551,The dog has its head inside a red and green gift bag
5552,A dog has its head inside a red and green gift bag
5553,A dog has its head outside a red and green gift bag
5554,A red and brown dog is digging its nose inside the holiday gift bag
5555,The red and brown dog is digging its nose inside a holiday gift bag
5556,The red and brown dog is not digging its nose inside a holiday gift bag
5557,The man is biking in the snow and wearing a red jacket
5558,The rider is biking in the snow and wearing a red jacket
5559,The rider is biking in the rain and wearing a red jacket
5560,A cyclist is biking in a snowy forest in the dark
5561,A cyclist is biking in a snowy forest at night
5562,A cyclist is biking in a snowy forest at day
5563,A girl with a bikini is playing in the dunes
5564,A girl with a bikini is playing in the sand
5565,No girl with a bikini is playing in the dunes
5566,A young girl in a bikini is jumping on the beach
5567,A young girl in swimming suite is jumping on the beach
5568,A young girl in a bikini is sitting on the beach
5569,A boy is wearing a hat and is walking in the wet sand
5570,A little kid is wearing a hat and is walking in the wet sand
5571,A little kid is wearing a hat and is walking in the dry sand
5572,A wet kid is wearing sand and is walking on a little hat
5573,A white hat is being worn by a boy which is running on the beach
5574,A boy is wearing a white hat and is running on the beach
5575,A boy is wearing a white hat and is walking on the beach
5576,A cardboard box is being touched by a man in a black hat
5577,A man in a black hat is touching a cardboard box
5578,A man in a white hat is touching a cardboard box
5579,A man in a black hat is reaching for a box
5580,A person in a black hat is reaching for a box
5581,A man in a black hat is not reaching for a box
5582,A blond kid is going down a slide and throwing up his arms
5583,A blond child is going down a slide and throwing up his arms
5584,A child with dark hair is going down a slide and throwing up his arms
5585,A young girl with a heart tank top is raising her hands as she is playing on a slide
5586,A young girl with a heart tank top is raising her hands as she is sliding
5587,A young boy with a heart tank top is raising his hands as he is sliding
5588,Two dogs are playing on a beach
5589,Two dogs are playing in a forest
5590,A brown dog is running after a black dog on a rocky shore
5591,A brown dog is running after a dark dog on a rocky shore
5592,A brown dog is running after a white dog on a rocky shore
5593,Two dogs are playing on a rocky beach
5594,Two dogs are playing on a beach made of rocks
5595,Two dogs are playing on a sandy beach
5596,A black dog is approaching a golden dog on pebbly beach
5597,A black animal is approaching a golden dog on pebbly beach
5598,A white dog is approaching a golden dog on pebbly beach
5599,A large white dog is jumping in the air over an area covered by snow
5600,A large white dog is jumping in the air over a snowy area
5601,A large black dog is jumping in the air over a snowy area
5602,A large white dog is jumping up in the snow
5603,A large white animal is jumping up in the snow
5604,A small white dog is jumping up in the snow
5605,Two young boys are wearing hats and sticking their colored tongues out
5606,Two young kids are wearing hats and sticking their colored tongues out
5607,Two young girls are wearing hats and sticking their colored tongues out
5608,A pair of kids are sticking out blue and green colored tongues
5609,Two kids are sticking out blue and green colored tongues
5610,Two kids are not sticking out blue and green colored tongues
5611,A dog is standing on the side of a mountain
5612,A dog is standing on a mountain
5613,There is no dog standing on the side of a mountain
5614,A white dog is standing on a hill covered by grass
5615,A white dog is standing on a grassy hillside
5616,A black dog is standing on a grassy hillside
5617,Two children are rolling in dirty water
5618,Two children are rolling in muddy water
5619,Two children are rolling in clean water
5620,Two boys are laying in the ocean close to the beach
5621,Two boys are laying in the water close to the beach
5622,Two boys are laying in the ocean far to the beach
5623,A black and brown dog is eyeing a fly
5624,A black and brown dog is eyeing an insect
5625,A black and brown cat is eyeing a fly
5626,A brown and black dog is looking upwards
5627,A brown and black dog is pointing the nose upwards
5628,A brown and black dog is pointing the nose downwards
5629,A large man is sitting in a military accessories shop
5630,A large man is sitting in a military accessories store
